ID Obras,NombreExt,AreaResumen,Componente,IniciativaResumen,Agruparea,CUIT,Nº de contratación,Total
47,Cubierta Arena Parque Roca,Obra,Licitación Pública,Teximco S.A. - Dal Construcciones S.A. Ute,Parque Olímpico,30714751979,1723/2013,103608164
17," Demolición Total, Extracción Y Trasplante De Árboles, Cerco Perimetral",Obra,Licitación Pública,Salvatori S.A Parques Y Jardines,Parque Olímpico,30512700124,880/16,48590604
21," Espacio Público, Equipamiento Deportivo Exterior",Obra,Licitación Pública,Conorvial S.A.,Parque Olímpico,30516492747,266/2017,349706395
28,Infraestructura Eléctrica,Obra,Licitación Pública,Urban Baires S.A.,Parque Olímpico,30711290075,1035/16,54936733
18," Instalación De Red De Agua Potable, Incendio Cloacal, Pluvial Y Red De Gas",Obra,Licitación Pública,Tecma S.A.,Parque Olímpico,30623866528,1032/2016,42340809
27,Pabellón B,Obra,Licitación Pública,Criba S.A.,Parque Olímpico,30505454436,35/2017,283389377
22,Pabellón C,Obra,Licitación Pública,Niro Construcciones S.A.,Parque Olímpico,33588171979,36/2017,508091151
19,Pabellones A1 Y A2,Obra,Licitación Pública,Constructora Sudamericana S.A.,Parque Olímpico,30546752271,1192/16,194988604
20,Pabellones A3 Y A4,Obra,Licitación Pública,Criba S.A.,Parque Olímpico,30505454436,1191/16,168646366
30,Centro De Desarrollo Infantil Rayito De Sol,Obra,Licitación Pública,Cunumi S.A.,Villa Olímpica,30615748036,893/16,48500000
5,Demoliciones En El Parque De La Ciudad,Obra,Licitación Pública,Ses S.A.,Villa Olímpica,30647727545,305/2014,6990315
26,Espacio Público,Obra,Licitación Pública,Conorvial S.A.,Villa Olímpica,30516492747,981/2016,113437807
26,Estación Reguladora Y Distribución De Gas De Villa Olímpica,Obra,Licitación Pública,Ucsa S.A.,Villa Olímpica,30711492395,53/2016,15242432
25,Infraestructura Eléctrica,Obra,Licitación Pública,Urban Baires S.A.,Villa Olímpica,30711290075,912/2016,54936733
24,Red De Agua Y Cloacas,Obra,Licitación Pública,Reconstrucción De Caños S.A.,Villa Olímpica,30677790977,81/2016,35787390
31,Red Vial Y Pluvial,Obra,Licitación Pública,Ucsa S.A.,Villa Olímpica,30711492395,1258/2015,86226253
16,Viviendas I,Obra,Licitación Pública,Cavcon S.A.,Villa Olímpica,30700895560,1876/2014,154853715
6,Viviendas II,Obra,Licitación Pública,Emaco S.A. - Lanusse S.A. Ute,Villa Olímpica,30714969362,15/2015,148823367
7,Viviendas III,Obra,Licitación Pública,Bricons S.A.I.C.F.I.,Villa Olímpica,30541068151,329/2015,179192366
8,Viviendas IV,Obra,Licitación Pública,Dycasa S.A.,Villa Olímpica,33516294189,395/2015,163279322
9,Viviendas IX,Obra,Licitación Pública,Criba S.A.,Villa Olímpica,30505454436,580/2015,137837183
10,Viviendas V,Obra,Licitación Pública,Dycasa S.A.,Villa Olímpica,33516294189,396/2015,166503404
11,Viviendas VI,Obra,Licitación Pública,Criba S.A.,Villa Olímpica,30505454436,450/2015,160833300
12,Viviendas VII,Obra,Licitación Pública,Cunumi S.A.,Villa Olímpica,30615748036,449/2015,123691183
13,Viviendas VIII,Obra,Licitación Pública,Constructora Sudamericana S.A.,Villa Olímpica,30546752271,528/2015,174609630
14,Viviendas X,Obra,Licitación Pública,Vidogar Construcciones S.A.,Villa Olímpica,30553433564,573/2015,98174265
25098,Viviendas X,Obra,Licitación Pública,Eleprint S.A. - ECAS S.A.,Puente Lacarra,30711039089,27/16,249900000
450,Remodelación Y Ampliación (Etapa N° 2- 3°Modulo),Obra,Licitación Pública,Henisa Sudamericana S.A.,Centros De Salud De Villa Lugano,33668217759,212/2017,296735562
37,Ampliacion Red Pluvial VII,Obra,Licitación Pública,Construere Ingenieria S.A. - Ses S.A. Ute,Ramal Caaguazu,30714420549,212/2018,69200043